,c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
477,246,139091,3,477
478,246,140293,4,478
479,247,20,1,479
480,248,119,1,480
481,249,30,1,481
482,250,54,1,482
483,251,428,1,483
484,251,139919,2,484
485,252,292,1,485
486,252,138833,2,486
487,252,138834,3,487
488,252,138835,4,488
489,252,138836,5,489
490,252,138837,6,490
491,252,139497,7,491
492,252,139768,8,492
493,252,139824,9,493
494,252,139969,10,494
495,252,140345,11,495
496,253,439,1,496
497,253,138830,2,497
498,253,138831,3,498
499,253,139450,4,499
500,253,139930,5,500
501,253,140245,6,501
502,253,140528,7,502
503,254,293,1,503
504,254,138822,2,504
505,254,138823,3,505
506,254,138824,4,506
507,254,138825,5,507
508,254,139602,6,508
509,255,473,1,509
510,256,220,1,510
511,257,373,1,511
512,258,376,1,512
513,258,138839,2,513
514,258,138840,3,514
515,258,138841,4,515
516,258,138842,5,516
517,258,138843,6,517
518,258,138844,7,518
519,259,221,1,519
520,260,222,1,520
521,261,128,1,521
522,262,223,1,522
523,263,226,1,523
524,264,381,1,524
525,264,138982,2,525
526,264,138983,3,526
527,264,138984,4,527
528,264,138985,5,528
529,264,138986,6,529
530,264,138987,7,530
531,264,138988,8,531
532,264,138989,9,532
533,264,138990,10,533
534,264,138991,11,534
535,264,138992,12,535
536,264,138993,13,536
537,264,138994,14,537
538,264,139667,15,538
539,264,140318,16,539
540,265,274,1,540
541,265,139380,2,541
542,266,224,1,542
543,267,225,1,543
544,268,29,1,544
545,269,111,1,545
546,270,140,1,546
547,271,69,1,547
548,272,61,1,548
549,272,125,2,549
550,273,368,1,550
551,274,474,1,551
552,275,304,1,552
553,276,39,1,553
554,277,102,1,554
555,278,367,1,555
556,279,118,1,556
557,280,58,1,557
558,280,94,2,558
559,281,284,1,559
560,282,352,1,560
561,283,84,1,561
562,284,340,1,562
563,285,412,1,563
564,286,283,1,564
565,287,227,1,565
566,288,341,1,566
567,288,139885,2,567
568,289,349,1,568
569,290,396,1,569
570,290,397,2,570
571,290,138384,3,571
572,290,138385,4,572
573,290,139979,5,573
574,290,140001,6,574
575,290,140036,7,575
576,290,140183,8,576
577,290,140452,9,577
578,291,23,1,578
579,291,228,2,579
580,291,229,3,580
581,292,353,1,581
582,292,139096,2,582
583,292,139097,3,583
584,292,139098,4,584
585,292,139099,5,585
586,292,139100,6,586
587,292,139101,7,587
588,292,139102,8,588
589,292,139783,9,589
590,292,140426,10,590
591,293,230,1,591
592,294,65,1,592
593,295,231,1,593
594,296,32,1,594
595,296,87,2,595
596,297,232,1,596
597,298,45,1,597
598,299,135,1,598
599,300,233,1,599
600,301,31,1,600
601,302,350,1,601
602,303,310,1,602
603,304,342,1,603
604,304,138577,2,604
605,304,138578,3,605
606,304,138579,4,606
607,304,138580,5,607
608,304,138581,6,608
609,304,138582,7,609
610,304,140056,8,610
611,305,72,1,611
612,306,138,1,612
613,307,446,1,613
614,307,138342,2,614
615,307,138343,3,615
616,308,77,1,616
617,309,36,1,617
618,310,354,1,618
619,310,139781,2,619
620,311,343,1,620
621,312,123,1,621
622,313,79,1,622
623,314,435,1,623
624,315,64,1,624
625,316,147,1,625
626,317,235,1,626
627,318,234,1,627
628,319,275,1,628
629,320,142,1,629
630,321,344,1,630
631,322,278,1,631
632,322,445,2,632
633,322,138487,3,633
634,323,345,1,634
635,324,120,1,635
636,324,236,2,636
637,325,452,1,637
638,326,285,1,638
639,326,355,2,639
640,326,360,3,640
641,326,138460,4,641
642,326,138461,5,642
643,326,138462,6,643
644,326,138463,7,644
645,326,138464,8,645
646,326,138465,9,646
647,326,138466,10,647
648,326,138467,11,648
649,326,138468,12,649
650,326,138469,13,650
651,326,138470,14,651
652,326,138471,15,652
653,326,138472,16,653
654,326,138473,17,654
655,326,138474,18,655
656,326,138475,19,656
657,326,138476,20,657
658,326,139396,21,658
659,326,139482,22,659
660,326,139493,23,660
661,326,139537,24,661
662,326,139558,25,662
663,326,139610,26,663
664,326,139646,27,664
665,326,139874,28,665
666,326,140031,29,666
667,326,140241,30,667
668,326,140244,31,668
669,327,276,1,669
670,327,138482,2,670
671,327,140070,3,671
672,328,382,1,672
673,328,475,2,673
674,329,451,1,674
675,330,237,1,675
676,331,290,1,676
677,332,476,1,677
678,333,322,1,678
679,333,324,2,679
680,333,447,3,680
681,333,138158,4,681
682,333,138159,5,682
683,333,138160,6,683
684,333,138161,7,684
685,333,138162,8,685
686,333,138163,9,686
687,333,138164,10,687
688,333,139787,11,688
689,333,140022,12,689
690,333,140087,13,690
691,333,140089,14,691
692,333,140187,15,692
693,333,140259,16,693
694,333,140268,17,694
695,333,140388,18,695
696,333,140414,19,696
697,333,140448,20,697
698,333,140517,21,698
699,333,140531,22,699
700,334,18,1,700
701,335,238,1,701
702,336,239,1,702
703,337,3,1,703
704,338,124,1,704
705,339,294,1,705
706,339,138789,2,706
707,339,138790,3,707
708,339,138791,4,708
709,339,140021,5,709
710,339,140392,6,710
711,340,93,1,711
712,341,240,1,712
713,342,242,1,713
714,343,442,1,714
715,344,241,1,715
716,345,75,1,716
717,346,347,1,717
718,347,246,1,718
719,348,356,1,719
720,348,139121,2,720
721,348,139535,3,721
722,348,139549,4,722
723,348,140011,5,723
724,348,140079,6,724
725,349,37,1,725
726,350,346,1,726
727,350,138227,2,727
728,351,8,1,728
729,352,478,1,729
730,353,479,1,730
731,354,430,1,731
732,354,139218,2,732
733,354,140013,3,733
734,355,105,1,734
735,355,243,2,735
736,356,113,1,736
737,357,348,1,737
738,357,138290,2,738
739,357,138291,3,739
740,357,138292,4,740
741,357,138293,5,741
742,357,138294,6,742
743,357,139648,7,743
744,357,139833,8,744
745,357,139951,9,745
746,357,140521,10,746
747,358,427,1,747
748,359,429,1,748
749,360,244,1,749
750,361,415,1,750
751,362,245,1,751
752,363,477,1,752
753,364,117,1,753
754,365,68,1,754
755,366,449,1,755
756,367,144,1,756
757,368,383,1,757
758,368,480,2,758
759,369,70,1,759
760,370,50,1,760
761,371,247,1,761
762,372,143,1,762
763,373,481,1,763
764,373,138679,2,764
765,374,248,1,765
766,375,326,1,766
767,375,384,2,767
