index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
222,329,9999,1599,0,0,0,0,0,0
223,330,9999,1599,0,0,0,0,0,0
224,331,011040101,1503020101,0,0,0,0,0,0
225,332,011040101,1503020101,0,0,0,0,0,0
226,333,011090301,15070301,0,0,0,0,0,0
227,335,011080300,15060203,0,0,0,0,0,0
228,335,011090202,15070202,0,0,0,0,0,0
229,336,011031200,15030112,0,0,0,0,0,0
230,338,011031200,15030112,0,0,0,0,0,0
231,339,011031300,15030113,0,0,0,0,0,0
232,341,011040703,1503020703,0,0,0,0,0,0
233,342,011090101,15070101,0,0,0,0,0,0
234,343,011090201,15070201,0,0,0,0,0,0
235,344,011090201,15070201,0,0,0,0,0,0
236,345,011040703,1503020703,0,0,0,0,0,0
237,346,011040703,1503020703,0,0,0,0,0,0
238,347,011040703,1503020703,0,0,0,0,0,0
239,349,011040101,1503020101,0,0,0,0,0,0
240,350,011100100,150801,0,0,0,0,0,0
241,351,011120100,151001,0,0,0,0,0,0
242,352,011040710,1503020710,0,0,0,0,0,0
243,353,011040710,1503020710,0,0,0,0,0,0
244,354,011040710,1503020710,0,0,0,0,0,0
245,355,011040710,1503020710,0,0,0,0,0,0
246,356,011040710,1503020710,0,0,0,0,0,0
247,357,011040710,1503020710,0,0,0,0,0,0
248,358,011010700,150107,0,0,0,0,0,0
249,360,011010700,150107,0,0,0,0,0,0
250,361,011010600,150106,0,0,0,0,0,0
251,362,011010600,150106,0,0,0,0,0,0
252,363,011010900,150109,0,0,0,0,0,0
253,364,9999,1599,0,0,0,0,0,0
254,365,011040707,1503020707,0,0,0,0,0,0
255,366,011040707,1503020707,0,0,0,0,0,0
256,367,011040707,1503020707,0,0,0,0,0,0
257,368,011040707,1503020707,0,0,0,0,0,0
258,371,9999,1599,0,0,0,0,0,0
259,372,011040302,1503020302,0,0,0,0,0,0
260,374,011030500,15030105,0,0,0,0,0,0
261,381,011030400,15030104,0,0,0,0,0,0
262,382,011100200,150802,0,0,0,0,0,0
263,383,011050700,150407,0,0,0,0,0,0
264,384,011050200,150402,0,0,0,0,0,0
265,385,011090304,15070304,0,0,0,0,0,0
266,387,9999,1599,0,0,0,0,0,0
267,388,011090101,15070101,0,0,0,0,0,0
268,389,9999,1599,0,0,0,0,0,0
269,391,9999,1599,0,0,0,0,0,0
270,392,011040101,1503020101,0,0,0,0,0,0
271,394,011031300,15030113,0,0,0,0,0,0
272,395,011031300,15030113,0,0,0,0,0,0
273,396,9999,1599,0,0,0,0,0,0
274,398,9999,1599,0,0,0,0,0,0
275,400,011040304,1503020304,0,0,0,0,0,0
276,401,011040800,15030208,0,0,0,0,0,0
277,402,9999,1599,0,0,0,0,0,0
278,403,011070100,15060101,0,0,0,0,0,0
279,404,9999,1599,0,0,0,0,0,0
280,406,9999,1599,0,0,0,0,0,0
281,407,9999,1599,0,0,0,0,0,0
282,408,011100300,150803,0,0,0,0,0,0
283,409,011100300,150803,0,0,0,0,0,0
284,410,011100300,150803,0,0,0,0,0,0
285,411,011100300,150803,0,0,0,0,0,0
286,412,011100300,150803,0,0,0,0,0,0
287,413,011100300,150803,0,0,0,0,0,0
288,414,011100300,150803,0,0,0,0,0,0
289,415,011100300,150803,0,0,0,0,0,0
290,416,011100300,150803,0,0,0,0,0,0
291,417,011100300,150803,0,0,0,0,0,0
292,418,011100300,150803,0,0,0,0,0,0
293,419,011100300,150803,0,0,0,0,0,0
294,420,011100300,150803,0,0,0,0,0,0
295,421,011100300,150803,0,0,0,0,0,0
296,422,011100300,150803,0,0,0,0,0,0
297,423,011100300,150803,0,0,0,0,0,0
298,424,011100300,150803,0,0,0,0,0,0
