index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
56,113060,161,274,20,,,,,,,,,9599.0,14000,,元代釋士璋113060居旌德教寺,,,,,39.0
57,113060,275,602,20,,,,,,,,,9599.0,14000,,元代釋士璋113060居棲真教寺,,,,,40.0
58,113060,346,767,20,,,,,,,,,9599.0,14000,,元代釋士璋113060居杭之顯慈集慶教寺,,,,,41.0
59,113061,26,49,20,,,,,,,,,9599.0,14001,,"元代釋大同113061居會稽之景德寺,寶林寺",,,,,42.0
60,113061,162,276,20,,,,,,,,,9599.0,14001,,"元代釋大同113061居會稽之景德寺,寶林寺",,,,,43.0
61,113065,368,807,20,,,,,,,,,9599.0,14007,,元代釋大證113065居四明雪竇寺,,,,,44.0
62,113066,30,61,20,,,,,,,,,9599.0,14008,,元代釋子文113066居慶元路寶雲寺,,,,,45.0
63,113067,74,135,20,,,,,,,,,9599.0,14009,,元代釋子安113067居大都大慶壽寺,,,,,46.0
64,113068,138,225,20,,,,,,,,,9599.0,14010,,元代釋子成113068居渭南洪福寺,,,,,47.0
65,113070,353,780,20,,,,,,,,,9599.0,14013,,元代釋子廣113070居大聖山孝思禪院,,,,,48.0
66,113073,292,631,20,,,,,,,,,9599.0,14017,,元代釋允才113073居嘉興石佛寺,,,,,49.0
67,113075,3,4,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14019,,元代釋允清113075居衢州子湖安國禪寺,,,,,50.0
68,113075,358,797,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14019,,元代釋允清113075居信州玉山興教禪寺,,,,,51.0
69,113077,376,821,20,,,,,,,,,9599.0,14021,,元代釋元旭113077居四明延壽寺,,,,,52.0
70,113079,290,619,20,,,,,,,,,9599.0,14023,,元代釋元長113079居義烏伏龍山聖壽寺,,,,,53.0
71,113082,99,172,20,,,,,,,,,9599.0,14026,,元代釋元湛113082居黃巖州法輪院,,,,,54.0
72,113086,41,73,20,,,,,,,,,9599.0,14031,,元代釋元瀞113086居長慶寺,,,,,55.0
73,113086,332,727,20,,,,,,,,,9599.0,14031,,元代釋元瀞113086居天衣萬壽寺,,,,,56.0
74,113089,107,183,20,,,,,,,,,9599.0,14034,,元代釋天倫113089居定海縣佛巖寺,,,,,57.0
75,113090,389,838,20,,,,,,,,,9599.0,14035,,元代釋文才113090居五臺山祐國寺,,,,,58.0
76,113091,110,186,20,,,,,,,,,9599.0,14036,,元代釋文侃113091居安陽三泉福勝院,,,,,59.0
77,113092,373,813,20,,,,,,,,,9599.0,14037,,元代釋文信113092居耀州延昌寺,,,,,60.0
78,113093,23,46,20,,,,,,,,,9599.0,14038,,元代釋文信113093居石湖寶華禪寺,,,,,61.0
79,113095,130,214,20,,,,,,,,,9599.0,14040,,元代釋文煥113095居居臨川海雲 精舍,,,,,62.0
80,113096,329,724,20,,,,,,,,,9599.0,14041,,元代釋文靜113096居山陰天章寺; Temple ID 139518 Location: 山陰縣蘭渚山; Founding: 宋代; Other: 兰亭旧地,,,,,63.0
81,113097,139,233,20,,,,,,,,,9599.0,14042,,元代釋文謙113097居台州鴻福寺,,,,,64.0
82,113098,137,223,20,,,,,,,,,9599.0,14043,,元代釋文藻113098居湖州何山禪寺,,,,,65.0
83,113099,253,496,20,,,,,,,,,9599.0,14044,,元代釋月林113099居瓊山普明寺,,,,,66.0
84,113100,228,443,20,,,,,,,,,9599.0,14045,,元代釋水盛113100居西湖之妙果寺,,,,,67.0
85,113101,359,798,20,,,,,,,,,9599.0,14046,,元代釋世愚113101居廣德石溪興龍禪寺,,,,,68.0
86,113102,19,21,20,,,,,,,,,9599.0,14047,,元代釋世誠113102居南昌般若寺,,,,,69.0
87,113103,109,185,20,,,,,,,,,9599.0,14048,,元代釋以假113103居白雲山福林院,,,,,70.0
