,tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
118,30.0,2407,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
119,31.0,2408,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
120,32.0,2409,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
121,33.0,2410,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
122,34.0,2411,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
123,35.0,2412,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
124,36.0,2413,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
125,37.0,2414,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
126,39.0,2415,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
127,40.0,2416,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
128,42.0,2417,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
129,43.0,2418,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
130,47.0,2421,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
131,48.0,2422,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
132,50.0,2423,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
133,51.0,2424,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
134,54.0,2428,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
135,55.0,2429,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
136,56.0,2430,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
137,60.0,2433,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
138,61.0,2434,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
139,62.0,2435,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
140,64.0,2437,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
141,65.0,2438,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
142,66.0,2439,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
143,67.0,2440,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
144,68.0,2441,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
145,72.0,2446,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
146,79.0,2453,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
147,81.0,2455,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
148,83.0,2459,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
149,84.0,2460,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
150,85.0,2461,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
151,87.0,2464,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
152,90.0,2466,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
153,95.0,2470,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
154,110.0,2480,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
155,507.0,2485,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
156,508.0,2486,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
157,515.0,2493,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
158,520.0,2498,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
159,525.0,2504,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
160,526.0,2506,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
161,529.0,2509,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
162,530.0,2510,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
163,532.0,2512,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
164,533.0,2513,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
165,538.0,2517,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
166,547.0,2526,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
167,550.0,2529,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
168,551.0,2530,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
169,554.0,2532,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
170,555.0,2533,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
171,557.0,2535,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
172,559.0,2537,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
173,560.0,2538,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
174,561.0,2539,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
175,562.0,2540,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
176,566.0,2544,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
177,568.0,2546,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
178,572.0,2550,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
179,575.0,2553,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
180,580.0,2558,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
181,582.0,2560,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
182,586.0,2564,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
183,587.0,2565,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
184,600.0,2578,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
185,613.0,2591,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
186,614.0,2592,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
187,615.0,2593,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
188,616.0,2594,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
189,617.0,2595,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
190,619.0,2597,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
191,620.0,2598,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
192,622.0,2600,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
193,624.0,2602,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
194,626.0,2603,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
195,627.0,2604,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
196,631.0,2607,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
197,634.0,2610,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
198,635.0,2611,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
199,636.0,2612,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
200,638.0,2614,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
201,639.0,2615,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
202,643.0,2619,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
203,651.0,2626,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
204,654.0,2629,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
205,657.0,2632,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
206,661.0,2635,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
207,662.0,2636,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
208,663.0,2637,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
209,664.0,2638,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
210,665.0,2639,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
