	汉字	字频	累计字频
363	权	1587951	1523998024
364	支	1584947	1525582971
365	类	1580999	1527163970
366	儿	1575357	1528739327
367	份	1573624	1530312951
368	四	1571257	1531884208
369	步	1571055	1533455263
370	备	1570957	1535026220
371	观	1570408	1536596628
372	众	1570202	1538166830
373	客	1569511	1539736341
374	办	1566994	1541303335
375	清	1566178	1542869513
376	赛	1564969	1544434482
377	速	1561748	1545996230
378	率	1560684	1547556914
379	精	1559763	1549116677
380	深	1553005	1550669682
381	快	1551773	1552221455
382	形	1550693	1553772148
383	什	1546122	1555318270
384	战	1545864	1556864134
385	走	1542497	1558406631
386	领	1538710	1559945341
387	几	1537785	1561483126
388	局	1533642	1563016768
389	优	1528715	1564545483
390	限	1524123	1566069606
391	查	1519765	1567589371
392	确	1514167	1569103538
393	案	1510617	1570614155
394	势	1502520	1572116675
395	界	1499529	1573616204
396	购	1497010	1575113214
397	张	1494292	1576607506
398	包	1489505	1578097011
399	光	1486542	1579583553
400	花	1477418	1581060971
401	显	1473355	1582534326
402	况	1471289	1584005615
403	图	1467857	1585473472
404	超	1456903	1586930375
405	马	1454666	1588385041
406	宝	1447929	1589832970
407	见	1446477	1591279447
408	银	1444153	1592723600
409	决	1442868	1594166468
410	功	1441576	1595608044
411	研	1440944	1597048988
412	融	1440720	1598489708
413	环	1436901	1599926609
414	始	1435769	1601362378
415	首	1434765	1602797143
416	升	1434277	1604231420
417	京	1433375	1605664795
418	越	1431524	1607096319
419	参	1431241	1608527560
420	共	1430743	1609958303
421	何	1429223	1611387526
422	复	1428608	1612816134
423	白	1428269	1614244403
424	书	1421435	1615665838
425	条	1421428	1617087266
426	预	1417457	1618504723
427	又	1411465	1619916188
428	省	1410093	1621326281
429	销	1407385	1622733666
430	济	1407066	1624140732
431	请	1401778	1625542510
432	热	1399762	1626942272
433	乐	1395287	1628337559
434	则	1392006	1629729565
435	称	1384386	1631113951
436	反	1379286	1632493237
437	食	1375725	1633868962
438	财	1372021	1635240983
439	候	1368792	1636609775
440	装	1367341	1637977116
441	构	1365345	1639342461
442	片	1365135	1640707596
443	校	1355711	1642063307
444	州	1355031	1643418338
445	险	1352469	1644770807
446	际	1350701	1646121508
447	难	1348440	1647469948
448	买	1339703	1648809651
449	维	1337650	1650147301
450	按	1337073	1651484374
451	存	1335878	1652820252
452	红	1330645	1654150897
453	团	1330645	1655481542
454	照	1321593	1656803135
455	即	1306101	1658109236
456	约	1300236	1659409472
457	足	1294394	1660703866
458	亿	1285671	1661989537
459	太	1282385	1663271922
460	模	1278218	1664550140
461	识	1275632	1665825772
462	神	1270038	1667095810
463	论	1262481	1668358291
464	习	1261403	1669619694
465	获	1261359	1670881053
466	斯	1261221	1672142274
467	料	1260890	1673403164
468	且	1251959	1674655123
469	根	1245835	1675900958
470	养	1245073	1677146031
