,id,title,directors,casts,rate
9405,10864713,明天记得爱上我,陈骏霖,"任贤齐,柯宇纶,范晓萱,夏于乔,石锦航",6.4
9406,1304645,龙与地下城,科特尼·所罗门,"杰瑞米·艾恩斯,贾斯廷·威林,李·阿伦伯格,布鲁斯·佩恩,马龙·韦恩斯",5.1
9407,1304538,边城浪子,陈勋奇,"狄龙,陈勋奇,陈玉莲,袁咏仪,袁洁莹",6.6
9408,3993189,轻音少女番外篇：Live House,山田尚子,"丰崎爱生,日笠阳子,佐藤聪美,寿美菜子,竹达彩奈",8.9
9409,2156060,在希尔维亚城中,何塞·路易斯·格林,"皮拉尔·洛佩斯·德·阿亚拉,艾克萨维尔·拉菲特,Gladys Deussner,Michaël Balerdi",7.5
9410,10749958,出轨幻想,保罗·哈吉斯,"奥利维亚·王尔德,米拉·库尼斯,詹姆斯·弗兰科,连姆·尼森,艾德里安·布洛迪",6.9
9411,6721894,政坛混战,杰伊·罗奇,"扎克·加利凡纳基斯,威尔·法瑞尔,杰森·苏戴奇斯,迪伦·麦克德莫特,凯瑟琳·拉·纳莎",6.5
9412,2362277,蠢蛋搞怪秀2.5,Jeff Tremaine,"约翰尼·诺克斯维尔,普雷斯顿·莱西,班姆·玛吉瑞,Brandon Novak,瑞恩·邓恩",7.3
9413,30216460,遗失的环节,克里斯·巴特勒,"休·杰克曼,佐伊·索尔达娜,艾玛·汤普森,扎克·加利凡纳基斯,蒂莫西·奥利芬特",6.7
9414,6869783,东方,扎尔·巴特曼里,"布里特·马灵,亚历山大·斯卡斯加德,艾伦·佩吉,托比·凯贝尔,希罗·弗南德兹",6.5
9415,1820138,自杀四人组,帕斯卡尔·舒梅,"皮尔斯·布鲁斯南,托妮·科莱特,伊莫琴·普茨,亚伦·保尔,乔·科尔",6.5
9416,25861610,熊出没之年货,"丁亮,刘富源,林永长","张秉君,万丹青,张伟,谭笑,孙尧东",7.6
9417,1479817,金牌制作人,苏珊·史特罗曼,"内森·连恩,马修·布罗德里克,乌玛·瑟曼,威尔·法瑞尔,John Salvatore",7.1
9418,6053347,畸形屋,吉勒·巴盖特-布赫内,"克里斯蒂娜·亨德里克斯,吉莲·安德森,霍纳·妮芙茜,格伦·克洛斯,马克斯·艾恩斯",6.3
9419,1296530,紫雨风暴,陈德森,"吴彦祖,甘国亮,周华健,何超仪,陈冲",6.5
9420,3102174,无畏上将高尔察克,安德列·克拉夫丘克,"康斯坦丁·哈宾斯基,丽扎· 波亚尔斯卡娅,谢尔盖·别兹鲁科夫,安娜·科瓦利丘克,叶戈尔·别洛耶夫",7.6
9421,25780574,为了皇帝,朴相骏,"李民基,朴圣雄,李泰林,崔惠贞,朴炫宇",5.6
